timestamp,server,type,fingerprint,nickname,group,rss_kb,vmsize_kb,hwm_kb,frag_ratio,count,total_kb,avg_kb,min_kb,max_kb
2025-09-09T00:00:00,co,aggregate,,,,,,,,3,16819158,5606386,5274337,5882511
2025-09-09T00:00:00,co,relay,,22gz,A,5274337,,,,,,,,
2025-09-09T00:00:00,co,relay,,24kgoldn,A,5662310,,,,,,,,
2025-09-09T00:00:00,co,relay,,42dugg,A,5882511,,,,,,,,
2025-09-10T00:00:00,co,aggregate,,,,,,,,10,5012189,501218,293601,597688
2025-09-10T00:00:00,co,relay,,22gz,A,293601,,,,,,,,
2025-09-10T00:00:00,co,relay,,24kgoldn,A,346030,,,,,,,,
2025-09-10T00:00:00,co,relay,,42dugg,A,325058,,,,,,,,
2025-09-10T00:00:00,co,relay,,armanicaesar,B,597688,,,,,,,,
2025-09-10T00:00:00,co,relay,,arsonaldarebel,C,576716,,,,,,,,
2025-09-10T00:00:00,co,relay,,autumntwinuzis,C,576716,,,,,,,,
2025-09-10T00:00:00,co,relay,,ayeverb,C,587202,,,,,,,,
2025-09-10T00:00:00,co,relay,,babyfaceray,D,566231,,,,,,,,
2025-09-10T00:00:00,co,relay,,babysmoove,D,576716,,,,,,,,
2025-09-10T00:00:00,co,relay,,bbno,D,566231,,,,,,,,
2025-09-11T00:00:00,co,aggregate,,,,,,,,10,9950982,995098,335544,5400166
2025-09-11T00:00:00,co,relay,,22gz,A,335544,,,,,,,,
2025-09-11T00:00:00,co,relay,,24kgoldn,A,387973,,,,,,,,
2025-09-11T00:00:00,co,relay,,42dugg,A,377487,,,,,,,,
2025-09-11T00:00:00,co,relay,,armanicaesar,B,5400166,,,,,,,,
2025-09-11T00:00:00,co,relay,,arsonaldarebel,C,576716,,,,,,,,
2025-09-11T00:00:00,co,relay,,autumntwinuzis,C,576716,,,,,,,,
2025-09-11T00:00:00,co,relay,,ayeverb,C,587202,,,,,,,,
2025-09-11T00:00:00,co,relay,,babyfaceray,D,566231,,,,,,,,
2025-09-11T00:00:00,co,relay,,babysmoove,D,576716,,,,,,,,
2025-09-11T00:00:00,co,relay,,bbno,D,566231,,,,,,,,
2025-09-12T00:00:00,co,aggregate,,,,,,,,10,30073155,3007315,356515,5662310
2025-09-12T00:00:00,co,relay,,22gz,A,356515,,,,,,,,
2025-09-12T00:00:00,co,relay,,24kgoldn,A,398458,,,,,,,,
2025-09-12T00:00:00,co,relay,,42dugg,A,387973,,,,,,,,
2025-09-12T00:00:00,co,relay,,armanicaesar,B,5662310,,,,,,,,
2025-09-12T00:00:00,co,relay,,arsonaldarebel,C,4047503,,,,,,,,
2025-09-12T00:00:00,co,relay,,autumntwinuzis,C,3344957,,,,,,,,
2025-09-12T00:00:00,co,relay,,ayeverb,C,3963617,,,,,,,,
2025-09-12T00:00:00,co,relay,,babyfaceray,D,4037017,,,,,,,,
2025-09-12T00:00:00,co,relay,,babysmoove,D,4005560,,,,,,,,
2025-09-12T00:00:00,co,relay,,bbno,D,3869245,,,,,,,,
2025-09-13T00:00:00,co,aggregate,,,,,,,,13,33313253,2562557,335544,5672796
2025-09-13T00:00:00,co,relay,,22gz,A,335544,,,,,,,,
2025-09-13T00:00:00,co,relay,,24kgoldn,A,387973,,,,,,,,
2025-09-13T00:00:00,co,relay,,42dugg,A,377487,,,,,,,,
2025-09-13T00:00:00,co,relay,,armanicaesar,B,5672796,,,,,,,,
2025-09-13T00:00:00,co,relay,,arsonaldarebel,C,4225761,,,,,,,,
2025-09-13T00:00:00,co,relay,,autumntwinuzis,C,3690987,,,,,,,,
2025-09-13T00:00:00,co,relay,,ayeverb,C,4026531,,,,,,,,
2025-09-13T00:00:00,co,relay,,babyfaceray,D,4529848,,,,,,,,
2025-09-13T00:00:00,co,relay,,babysmoove,D,4519362,,,,,,,,
2025-09-13T00:00:00,co,relay,,bbno,D,4204789,,,,,,,,
2025-09-13T00:00:00,co,relay,,bfbdapackman,E,440401,,,,,,,,
2025-09-13T00:00:00,co,relay,,biggk,E,461373,,,,,,,,
2025-09-13T00:00:00,co,relay,,bigpokeyhouston,E,440401,,,,,,,,
2025-09-14T00:00:00,co,aggregate,,,,,,,,13,34466687,2651283,346030,5892997
2025-09-14T00:00:00,co,relay,,22gz,A,346030,,,,,,,,
2025-09-14T00:00:00,co,relay,,24kgoldn,A,398458,,,,,,,,
2025-09-14T00:00:00,co,relay,,42dugg,A,377487,,,,,,,,
2025-09-14T00:00:00,co,relay,,armanicaesar,B,5892997,,,,,,,,
2025-09-14T00:00:00,co,relay,,arsonaldarebel,C,4372561,,,,,,,,
2025-09-14T00:00:00,co,relay,,autumntwinuzis,C,3795845,,,,,,,,
2025-09-14T00:00:00,co,relay,,ayeverb,C,4383047,,,,,,,,
2025-09-14T00:00:00,co,relay,,babyfaceray,D,4645191,,,,,,,,
2025-09-14T00:00:00,co,relay,,babysmoove,D,4592762,,,,,,,,
2025-09-14T00:00:00,co,relay,,bbno,D,4456448,,,,,,,,
2025-09-14T00:00:00,co,relay,,bfbdapackman,E,408944,,,,,,,,
2025-09-14T00:00:00,co,relay,,biggk,E,419430,,,,,,,,
2025-09-14T00:00:00,co,relay,,bigpokeyhouston,E,377487,,,,,,,,
2025-09-18T00:00:00,co,aggregate,,,,,,,,13,35431378,2725490,283115,5389680
2025-09-18T00:00:00,co,relay,,22gz,A,283115,,,,,,,,
2025-09-18T00:00:00,co,relay,,24kgoldn,A,335544,,,,,,,,
2025-09-18T00:00:00,co,relay,,42dugg,A,304087,,,,,,,,
2025-09-18T00:00:00,co,relay,,armanicaesar,B,5389680,,,,,,,,
2025-09-18T00:00:00,co,relay,,arsonaldarebel,C,4372561,,,,,,,,
2025-09-18T00:00:00,co,relay,,autumntwinuzis,C,4257218,,,,,,,,
2025-09-18T00:00:00,co,relay,,ayeverb,C,4498391,,,,,,,,
2025-09-18T00:00:00,co,relay,,babyfaceray,D,4844421,,,,,,,,
2025-09-18T00:00:00,co,relay,,babysmoove,D,5012193,,,,,,,,
2025-09-18T00:00:00,co,relay,,bbno,D,5106565,,,,,,,,
2025-09-18T00:00:00,co,relay,,bfbdapackman,E,335544,,,,,,,,
2025-09-18T00:00:00,co,relay,,biggk,E,356515,,,,,,,,
2025-09-18T00:00:00,co,relay,,bigpokeyhouston,E,335544,,,,,,,,
